cod	tipo	fecha1	fecha2	num_datos	xutm	yutm
253180113	master	2011-02-07	2019-10-29	85	628369	4302862
253245001	master	2002-01-07	2019-07-18	156	628001	4298302
263170062	master	2008-12-10	2019-07-31	108	642912	4304460
263220038	master	1972-11-06	2019-07-31	346	640073	4293878
243320033	master	2009-03-25	2019-06-18	68	578131	4272427
243330051	master	2009-06-22	2019-06-27	86	586189	4272248
243330054	master	2013-09-10	2019-06-18	48	587999	4276926
253320042	master	1971-10-18	2019-07-18	353	607868	4272170
253350003	master	1970-03-20	2019-07-18	341	606045	4267877
243340051	master	2008-12-11	2019-07-18	107	598840	4279468
253270074	master	2008-11-13	2019-07-03	60	621244	4290043
253280040	master	2008-01-15	2019-07-03	112	621674	4286190
253360037	master	2007-10-09	2019-07-03	124	612874	4268403
253370004	master	2001-12-20	2019-07-03	169	618820	4264878
253380026	master	1978-02-20	2019-07-18	285	626747	4270008
263250029	master	1972-08-29	2019-07-18	330	630256	4281510
263230092	master	1982-03-03	2019-07-31	163	646669	4295518
263260045	master	1976-07-01	2019-06-12	53	636559	4284026
263260048	master	1979-09-11	2019-06-12	108	636564	4284025
263285005	master	2007-04-17	2019-07-31	125	654274	4290109
253450015	master	2007-10-10	2019-06-27	114	605786	4243759
243420077	master	2008-11-06	2019-06-27	106	584585	4256068
233430081	master	2009-01-15	2019-06-27	106	562630	4260219
243420078	master	2013-05-27	2019-06-27	55	584428	4253582
253410010	master	1988-03-17	2019-01-16	75	602068	4254800
253410013	master	2008-04-23	2019-06-27	115	601975	4254411
253420040	master	1988-01-13	2019-06-27	177	612850	4255282
253420059	master	2013-05-27	2019-06-27	56	603786	4257263
253420060	master	2013-05-06	2019-06-27	63	612843	4255426
243420076	master	2008-03-28	2019-06-27	117	583886	4256351
243380021	master	2007-12-19	2019-06-27	117	598328	4263273
253380042	master	2009-01-15	2019-06-17	104	628187	4262941
253440024	master	1987-12-11	2019-06-17	181	622658	4261245
263360071	master	2009-01-14	2019-06-17	105	640792	4265460
253440001	master	1970-10-30	2019-06-17	267	624405	4255547
253440010	master	1970-12-14	2019-06-17	313	622450	4259642
253440013	master	1970-10-30	2019-06-17	128	623426	4254450
253440029	master	2009-01-15	2019-06-17	105	623482	4254449
263340021	master	2009-07-14	2019-07-09	100	653127	4276782
263350045	master	2013-05-13	2019-07-09	53	632976	4267057
263360072	master	2001-12-18	2019-05-16	154	641374	4268287
263370045	master	2006-12-15	2019-07-09	119	647566	4267182
273310066	master	2013-06-17	2019-07-09	36	662080	4276508
243460022	master	1970-06-24	2019-06-18	280	584644	4244556
243530018	master	1970-07-01	2019-06-18	206	588590	4239613
243570047	master	1979-04-25	2019-10-07	188	589763	4230832
253470020	master	1987-02-19	2019-07-30	193	618349	4244492
253470021	master	1987-02-19	2019-07-30	237	618871	4249648
253480020	master	1987-06-04	2019-07-30	152	624775	4243826
253480021	master	1987-12-16	2019-07-30	134	627966	4245367
253480022	master	2007-10-05	2019-07-30	113	628479	4249088
253530016	master	1987-06-20	2019-07-30	139	616942	4241996
263450051	master	2013-05-16	2019-07-30	72	631263	4252148
253530017	master	2002-01-30	2019-09-09	59	618163	4234891
253535001	master	2002-04-29	2019-09-09	432	618696	4234943
253570002	master	1972-05-09	2019-09-09	533	621685	4233354
253580002	master	1972-07-28	2019-10-07	592	625931	4233537
253580003	master	1974-01-20	2019-09-09	463	626259	4234166
263450049	master	2008-10-10	2019-09-09	190	633209	4244189
263440004	master	2010-03-09	2019-07-09	23	655502	4261079
263440065	master	2009-01-15	2019-07-09	104	651257	4259896
273350001	master	1970-05-27	2019-07-09	136	662501	4269632
273350008	master	2002-03-12	2019-07-09	160	662743	4269985
263520014	master	1970-06-13	2018-07-04	90	637961	4236898
263520060	master	2009-01-14	2019-07-03	105	641929	4238743
263520063	master	2011-09-21	2019-07-03	61	639955	4238448
273460110	master	1983-07-06	2019-06-17	229	666741	4247108
273460115	master	2007-11-21	2019-06-17	109	672718	4246584
273520060	master	2007-12-26	2019-06-17	109	667897	4241144
243640008	master	1978-10-17	2019-07-08	297	593734	4216027
253610026	master	1987-05-07	2019-07-08	202	603372	4216308
253610052	master	2013-06-25	2019-07-08	50	603426	4216214
253650007	master	1983-10-10	2019-07-08	244	605010	4213297
243620001	master	1981-07-16	2019-07-08	137	582599	4219615
243630004	master	2009-01-16	2019-10-02	107	586213	4215949
243650002	master	1981-07-20	2019-07-08	168	575697	4210763
243660015	master	2009-01-16	2019-07-08	105	582489	4213692
243670030	master	1981-08-06	2019-07-08	219	589367	4208793
243710014	master	2007-11-22	2019-07-08	120	578028	4206196
243680037	master	2007-11-22	2019-07-08	118	594639	4209533
263610019	master	2013-07-18	2019-07-10	46	631773	4219331
273640094	master	1974-03-29	2019-09-10	459	684300	4218064
273660405	master	1972-09-16	2019-08-13	483	670794	4212978
273660589	master	1974-03-29	2019-09-10	167	668700	4207639
273670250	master	1974-03-29	2019-09-10	374	676548	4215053
273680061	master	2009-12-09	2019-09-10	108	686101	4216173
273680062	master	2009-12-09	2019-09-10	107	686101	4216173
273680063	master	2009-12-09	2019-09-10	108	686101	4216173
273710179	master	1974-07-05	2019-09-10	597	662940	4202569
273711002	master	2005-10-20	2019-09-10	306	665001	4204788
273711003	master	2005-10-20	2019-09-10	244	664998	4204787
273711004	master	2005-10-20	2019-09-10	308	663646	4204709
273711080	master	2006-07-03	2019-06-21	98	663744	4206301
273720416	master	2008-06-05	2019-09-10	206	667279	4205974
273720417	master	2008-06-05	2019-09-10	221	667279	4205974
273720418	master	2008-06-05	2019-09-10	222	667279	4205974
283610201	master	2002-01-17	2019-08-05	300	693677	4221215
283610202	master	2006-07-29	2019-09-10	154	692729	4218550
253660011	master	1980-02-12	2019-08-01	238	614551	4209632
253660020	master	2014-04-08	2019-08-01	34	614868	4209746
253720007	master	2007-12-18	2019-08-01	117	613518	4205299
253650014	master	2007-11-23	2019-08-01	115	607645	4210538
253759001	master	2017-01-16	2019-08-01	13	603934	4192962
263610015	master	1986-10-30	2019-07-10	147	635696	4216899
263610018	master	2009-04-07	2019-07-10	101	635586	4216819
253740001	master	1979-01-16	2019-07-10	202	628251	4199732
253740032	master	2008-07-30	2019-07-10	110	627587	4199410
263660009	master	2001-05-15	2019-07-10	162	639071	4213030
263710073	master	2002-01-07	2019-01-29	144	634237	4199585
263680064	master	1973-08-02	2019-09-09	399	654657	4211138
263680174	master	2002-01-17	2019-09-09	213	654287	4214541
283660046	master	2002-01-17	2018-11-13	164	697702	4213234
243830004	master	2002-01-21	2019-07-05	165	590603	4184336
243850004	master	2013-04-20	2019-07-05	52	577435	4173149
233930020	master	2002-01-21	2019-07-05	164	563930	4165357
233930012	master	2003-01-17	2019-07-05	149	564432	4160845
263810102	master	2011-06-14	2019-07-29	74	632960	4187166
253830016	master	1997-04-16	2019-07-29	114	618811	4187991
253830024	master	2009-02-10	2019-07-29	104	622478	4185141
253840043	master	1996-09-13	2019-07-29	184	623835	4185127
253880015	master	2002-10-15	2019-06-20	162	625314	4173379
253880064	master	2008-07-16	2019-06-20	107	630133	4177088
263750056	master	2008-09-02	2019-06-20	57	637301	4188534
263770107	master	2009-04-07	2019-06-20	104	646616	4194213
263780037	master	2011-09-26	2019-06-20	73	654567	4197682
263810103	master	2008-09-05	2019-06-20	57	636465	4181424
263820085	master	2008-07-30	2019-06-20	112	640312	4186968
273720421	master	2010-06-18	2019-06-21	88	671904	4206103
273760089	master	2009-07-14	2019-07-11	98	673079	4193895
273780003	master	1973-06-14	2019-07-11	172	681814	4195388
273780092	master	2008-10-20	2019-07-11	110	681692	4190906
273780095	master	2009-01-23	2019-03-21	70	681809	4195403
273830035	master	1975-08-11	2019-07-11	273	678521	4184647
283750263	master	2009-04-20	2019-07-11	94	692986	4194041
283810020	master	1976-01-14	2019-07-12	328	691611	4187633
273780093	master	2008-10-20	2019-07-11	106	681689	4190908
273830044	master	1981-06-10	2019-07-11	247	678068	4187099
